time	mood	moodNotes	trigger	activity	social	alone	location	morale	stress	fatigue	compulsions
2018-04-09T10:03:18.315716	4	Feeling pretty good	Making good progress with project (this questionnaire!)	Schoolwork	1	True	Kevin Home	4	3	1	True
2018-04-09T11:03:48.939009	4	Productive	Making progress on project	Schoolwork, Errands, Chatting	1	True	Kevin Home	4	3	1	True
2018-04-09T12:00:17.159027	3	Neutral	Taking a break	Leisure	1	True	Kevin Home	3	2	1	False
2018-04-09T14:34:53.010916	3	Tired	Jet lag, chores	Leisure, Errands, Eating, Reading, Chatting, Email	2	True	Kevin Home	3	2	4	False
2018-04-09T16:56:31.979721	3	drowsy	jet lagged but unable to sleep	Schoolwork, Resting	0	True	Kevin Home	3	2	3	False
2018-04-09T18:00:51.257329	3	drowsy	jet lagged but unable to sleep	Schoolwork	0	True	Kevin Home	3	2	4	False
2018-04-09T19:58:39.830408	4	tired	jet lagged	 in class, schoolwork, chatting	2	False	School	3	2	4	True
2018-04-10T02:00:04.219220	4	content	good couple's therapy session	Therapy	2	False	School	4	2	2	True
2018-04-10T12:47:00.108283	3	neutral	in class	in class, schoolwork, email	2	False	School	3	3	3	True
2018-04-10T13:54:55.984234	2	antisocial, grumpy	fatigue	in class	1	False	School	2	3	4	True
2018-04-10T15:41:39.202590	3	tired	jetlag, hunger	Eating, Reading, Resting	2	True	Home	2	3	4	False
2018-04-10T18:36:19.043137	2	groggy, stressed	am behind on homework but keep falling asleep	Schoolwork, Resting	0	True	Home	2	4	5	True
2018-04-10T19:43:28.252137	3	neutral	catching up on homework and finding that it's manageable	Schoolwork	1	True	Home	3	3	3	True
2018-04-10T21:08:09.784039	4	sleepy, lazy	jet lag	Schoolwork, Leisure, Resting	2	False	Home	3	2	4	False
2018-04-11T00:19:42.212395	3	restless, worried about homework, but generally content	behind on homework	Resting	1	False	Home	3	3	2	True
2018-04-11T09:55:45.772075	4	motivated	talked to danny rozin about project and got positive feedback	in class, schoolwork	5	False	School	4	3	2	False
2018-04-11T11:03:27.501462	4	productive	making progress on project	Schoolwork, in class	1	False	School	4	3	2	False
2018-04-11T12:04:12.017554	5	cheerful	fun at school	Schoolwork, with friends	3	False	School	4	3	2	True
2018-04-11T15:02:45.011706	5	cheerful	fun at school and therapy	Chatting, therapy	6	False	School, Therapy	4	2	2	False
2018-04-11T18:08:44.805924	4	productive	catching up on homework	Schoolwork	1	False	School	4	3	2	False
2018-04-11T20:59:37.102652	3	tired	long day, lingering jet lag	Schoolwork, with Kevin	2	False	Kevin Home	3	3	5	True
2018-04-12T00:37:41.151981	3	sleepy but restless	jet lag	Resting, with Kevin, chatting	1	False	Kevin Home	3	2	3	False
2018-04-12T09:18:01.240432	4	motivated	making progress with homework, had breakfast with Kevin	Schoolwork, Eating, Chatting, with Kevin	1	False	Kevin Home	3	2	2	True
2018-04-12T11:34:36.320323	3	stressed	just realized that I'm actually still a week behind in homework and the midterm is due tonight!!	Schoolwork, Commuting	1	True	Home	3	4	2	True
2018-04-12T12:39:29.819958	2	stressed	still stressed about the midterm	Schoolwork	0	True	Home	3	4	2	False
2018-04-12T13:40:07.405005	2	stressed	still stressed about midterm	Schoolwork	0	True	Home	2	4	2	False
2018-04-12T14:42:51.922735	2	stressed	still stressed about midterm	Schoolwork, Eating	0	True	Home	3	4	2	False
2018-04-12T16:47:51.900184	2	exhausted	nonstop work on this midterm	Schoolwork	0	True	Home	2	4	3	False
2018-04-12T17:57:38.743968	3	accomplished	midterm is in pretty good shape	Schoolwork, in class	1	False	School	3	2	3	False
2018-04-12T21:00:10.756322	3	tired	long day, jet lag	in class, leisure	1	False	School	3	2	4	False
2018-04-13T09:07:26.361488	5	cheerful, energetic, excited	warm weather, had breakfast at la bonbonniere with kevin, about to attend yoga, njet lag woke us up early, nyc is nice in the mornings	Eating, with Kevin	2	False	School	4	1	1	False
2018-04-13T14:26:12.496000	4	content, happy, a bit tired	warm weather, active morning	Leisure, Eating, Reading, Resting, Email, Errands	5	True	Home	4	2	3	True
2018-04-13T15:27:43.578694	4	content, physically tired	so much exercise 	Errands, Resting, Leisure, Schoolwork	0	True	Home	4	2	3	False
2018-04-13T16:29:00.230369	3	a bit frustrated	can't debug code	Schoolwork	1	True	Home	3	2	3	True
2018-04-13T18:02:39.450067	3	drowsy	finally debugged code, want to nap	Schoolwork, Leisure	1	True	Home	3	2	4	True
2018-04-14T16:22:02.472148	4	cheerful, lazy	too much sleep, lazy Saturday with Kevin, nice weather	Schoolwork, Resting, Leisure	1	False	Kevin Home	4	3	2	False
2018-04-14T17:32:10.595708	4	accomplished	cleaned up affectiva data collection	Schoolwork	1	False	Kevin Home	4	2	2	True
2018-04-14T20:10:53.490546	3	content	had a walk with Kevin	Schoolwork, Leisure, Eating	1	False	Kevin Home	3	3	3	True
2018-04-14T22:14:03.200857	4	content	leisurely sunday morning with k	Resting, Leisure, Eating, Schoolwork	1	False	Kevin Home	3	3	2	True
2018-04-15T14:11:40.131009	5	cheerful	k cooked lunch, helped me with coding	Schoolwork, Eating	1	False	Kevin Home	4	3	2	False
2018-04-15T16:52:01.287242	4	productive	working on project	Schoolwork	1	False	Kevin Home	4	3	2	True
2018-04-15T19:52:48.102348	4	cheerful	had break and dinner with k	Eating, Leisure, Resting	1	False	Kevin Home	4	3	2	True
2018-04-15T21:32:04.116113	4	happy	getting some work done, chilling with k	Schoolwork	1	False	Kevin Home	4	2	3	True
2018-04-15T22:32:56.023039	3	tired	jet lag	Schoolwork	1	False	Kevin Home	3	2	4	False
2018-04-16T11:07:50.535380	4	content	had nice breakfast, k working from home this morning	Schoolwork	1	False	Kevin Home	3	4	2	False
2018-04-16T12:11:50.100342	2	frustrated	can't figure out this emoji thing	Schoolwork	1	False	Kevin Home	2	4	2	False
2018-04-16T14:27:29.932109	3	neutral	left k's, had lunch, now at library	Schoolwork, Eating	1	False	School, Library	3	3	2	False
2018-04-16T15:28:46.623225	3	productive	jamming on hw for class tonight	Schoolwork, Chatting	1	False	School, Library	3	3	2	False
2018-04-16T16:29:39.198534	3	productive	working on hw	Schoolwork	1	False	School, Library	3	4	2	True
2018-04-16T17:39:30.197282	2	stressed	class soon	Schoolwork	0	False	School	2	5	2	False
2018-04-16T18:48:19.579470	3	neutral	in class	in class, schoolwork, eating	3	False	School	3	2	2	False
2018-04-16T20:45:00.587875	4	cheerful	talked to a few classmates during fire drill, got boba guys	in class, with friends	8	False	School	3	2	3	False
2018-04-16T22:32:56.008568	3	sleepy,stressed	jet lag, long day, have hw to do	Schoolwork	1	False	Home	3	4	5	False
2018-04-17T00:05:03.971960	2	sooo sleepy	getting late	Schoolwork	1	False	Home	2	3	5	True
2018-04-17T02:04:10.561967	1.5	sleepy but can't sleep, stressed	caffeine, stress	Schoolwork	0	False	Home	2	4	5	True
2018-04-17T04:31:00.950041	2	grumpy	couldn't sleep last night	Email	2	False	Home	2	3	5	True
2018-04-17T11:51:16.224615	5	cheerful	hanging out with classmates, had good couple's therapy session, running on adrenaline	with friends	4	False	School	4	2	4	False
2018-04-17T13:32:36.023295	4	cheerful but drowsy	group work	in class	7	False	School	3	3	4	True
2018-04-17T15:35:57.809634	3	neutral	out of class, working now	schoolwork, eaitng	4	False	School (Leslie eLab)	3	4	4	True
2018-04-17T16:36:59.385299	3.5	productive	working on project	schoolwork	1	False	School (Leslie eLab)	3	3	4	False
2018-04-17T20:10:33.836753	1	disappointed, annoyed	didn't get the google internship!!	Chatting (ASH call)	5	False	Kevin Home	1	4	5	False
2018-04-17T21:24:50.885383	2	discouraged	getting rejected from the internship makes me question everything lol	Email, Schoolwork	4	False	Kevin Home	1	4	4	False
2018-04-17T22:27:56.891255	1.5	demoralized, apathetic	what's the point ugh	Schoolwork	1	False	Kevin Home	1	3	4	False
2018-04-18T00:39:25.251289	2.5	weary	woke up early, bad commute from bk, bad day yesterday	in class, schoolwork	5	False	School	2	3	3	False
2018-04-18T11:26:39.214208	3	fine	getting back into the swing of things	schoolwork, in class	0	False	School	3	3	2	True
2018-04-18T13:04:26.595564	3	fine	just working	schoolwork, leisure	0	True	Home	3	3	4	False
2018-04-18T14:34:11.650753	2	crappy	demoralized again	schoolwork	0	True	Home	0	3	4	True
2018-04-18T15:36:29.304071	2.5	bleh	bad days	schoolwork	0	True	Home	1	4	4	False
2018-04-18T17:17:21.588579	3	fine	watched an episode of SATC	Leisure (TV)	1	True	Home	2	3	3	False
2018-04-18T18:47:19.186395	3	okay	recovering lol	schoolwork, in class	2	False	School	2	3	4	False
2018-04-18T20:38:13.130925	3	fine	obsessed with my dashboard, not paying attention in class	in class, schoolwork	4	False	School	3	2	4	True
2018-04-18T22:26:03.174588	3.5	fine just fine	still working on dashboard, had some fun in class	schoolwork	4	True	Home	3	2	4	False
2018-04-18T23:26:52.675730	3	motivated?	obsessed with dashboard	schoolwork	1	True	Home	3	2	3	True
2018-04-19T03:28:03.604810	2	frustrated	couldn't figure out how to programmatically generate charts	schoolwork	0	True	Home	2	3	5	True
2018-04-19T10:51:18.438527	2.5	groggy	slept late last night but woke up at the same time	Email, schoolwork	0	True	Home	3	3	4	False
2018-04-19T13:16:16.264570	3	neutral	at cristobal's runwayml workshop	leisure, schoolwork	2	False	School	3	2	3	True
2018-04-19T14:17:44.814801	2.5	tired	lack of sleep	leisure, schoolwork	2	False	School	3	2.5	4	True
2018-04-19T15:30:37.791070	3	still tired	lack of sleep, homework	schoolwork	6	False	School	3	2	4	True
2018-04-19T16:31:42.171826	3	neutral	finished enough of my homework, taking a break	schoolwork, leisure, chatting	1	False	School	3.5	2	3.5	False
2018-04-19T17:32:42.749026	2.5	frustrated	failing to debug again	schoolwork	3	False	School	2.5	3	3	False
2018-04-19T18:56:24.777494	3	neutral	feeling better after eating	schoolwork, in class	6	False	School	3	2	3.5	True
2018-04-19T19:58:46.321390	3	attentive	lots of material being covered in class	in class	1	False	School	3	1.5	3	True
2018-04-19T21:02:04.796639	2.5	tired	literally cannot learn any more server-side js, also sleep-deprived	in class	0	False	School	2.5	1.5	4	True
2018-04-19T22:10:22.096696	3	neutral	out of class and at flyby about next semester's classes	Schoolwork	2	False	School	3	2	4	True
2018-04-19T23:58:00.410655	2.5	exhausted	sleep deprivation	leisure	1	True	Home	3	2	5	False
2018-04-20T11:08:44.766797	3	neutral	just had woke up, had shower, back to project	schoolwork	2	True	Home	3	1.5	1.5	False
2018-04-20T17:42:19.877967	3.5	a bit too rested	napped for 2+ hours after lunch with k and his mom	schoolwork, resting	0	True	Home	3.5	2	1	True
2018-04-21T00:46:14.001384	3	tired	spent evening with k and his mom	schoolwork	2	True	Home	3	2.5	4	True
2018-04-21T01:46:52.657861	3	tired but productive	it's late but i'm making progress	schoolwork	0	True	Home	3.5	2	4.5	True
2018-04-21T10:39:30.931871	3.5	feeling lazy	weird sleep this week	resting	0	True	Home	3	3.5	2.5	False
2018-04-21T11:40:24.133980	4	productive	having fun building my dashboard	schoolwork	0	True	Home	3.5	3	2	False
2018-04-21T16:38:12.757120	4	pretty good	had nice birthday lunch with k and his mom, then a nice walk home, warm weather today	leisure	3	True	Home	4	2.5	1.5	False
2018-04-21T17:38:56.098531	4	productive	obsessed with dashboard	schoolwork	2	True	Home	4.5	2	2	False
2018-04-21T18:43:13.335058	4	feeling good	making good progress on dashboard	schoolwork	1	True	Home	4	2.5	2	False
2018-04-21T23:48:06.892028	5	happy	fun with k	schoolwork, with Kevin	1	False	Kevin Home	4	2	3.5	True
2018-04-22T00:49:22.784766	4.5	happy, super sleepy but have to do homework for makeup class tomorrow	happy, super sleepy but have to do homework for makeup class tomorrow	schoolwork, with kevin	1	False	Kevin Home	3	2.5	5	True
2018-04-22T13:23:49.599772	3	neutral, a bit sleepy	at makeup class on a sunday -_-	in class	3	False	School	3.5	2	3.5	True
2018-04-22T14:46:00.226472	3.5	fine but can't concentrate in class	too obsessed with dashboard	in class	3	False	School	3	2	3	False
2018-04-22T21:13:51.835913	4	cheerful,lazy	kind of unmotivated to work on my final, watching k play snes	schoolwork, leisure, with kevin	1	False	Kevin Home	2.5	3.5	2.5	False
2018-04-22T22:35:26.112439	2.5	apprehensive	k is having another contentious phone conversation with his mother about his brother	schoolwork	1	False	Kevin Home	3	4	2.5	False
2018-04-23T10:55:55.127095	4	good enough	slept a lot	resting, just woke up, email	1	False	Kevin Home	3.5	3	1	True
2018-04-23T12:39:13.178737	3.5	happyish	convinced k to work from home for his bday	schoolwork, with kevin	1	False	Kevin Home	3.5	3	1.5	False
2018-04-23T13:40:01.043825	3	slightly frustrated	trying to debug	schoolwork, with kevin	1	False	Kevin Home	3	3.5	1.5	False
2018-04-23T14:42:12.035807	3.5	feeling productive, but not working on what I actually need to lol	good progress on styling dashboard	schoolwork, with kevin	1	False	Kevin Home	3.5	3	1.5	False
2018-04-23T15:59:23.999932	4	productive	jamming on QH final	schoolwork, with kevin	1	False	Kevin Home	4	2.5	1	False
2018-04-23T16:59:58.408849	3	stressed	almost time for class	schoolwork, with kevin	1	False	Kevin Home	3.5	4.5	1	False
2018-04-23T19:50:47.869858	4	relieved	just finished presenting QH final	in class	5	False	School	4	2	1.5	True
2018-04-24T12:53:08.957482	4.5	feeling good	got good feedback on final last night, everyone was supportive and encouraging, had a fun night with k afterwards	in class	5	False	School	4	2	2	False
2018-04-24T16:30:48.348500	4.5	still feeling good	warm weather, good convos with classmates before and after class (felt like I belong at ITP), interesting/fun therapy session	therapy	5	True	Home	4	2.5	1.5	True
2018-04-24T17:40:22.006398	4.5	yet more good feels	had a positive, optimistic call with ASH's devs	schoolwork, ASH stuff, eating	2	True	Home	4	2	1	False
2018-04-24T19:23:37.187591	4	pretty good but feeling a little lazy	yet more work to be done	schoolwork, email	2	True	Home	3.5	3	1.5	False
2018-04-24T20:26:55.898215	3.5	fine, a little bored	sitting on an ASH call, can't do anything else because it freezes the video :P	ASH stuff	4	True	Home	3	3.5	2	False
2018-04-24T21:30:59.773387	3	lazy, unmotivated	probably because I don't care about chrome extensions that much	leisure	1	True	Home	2.5	3.5	2	True
2018-04-24T22:32:39.304067	3	fine	finally working on homework and it's not painful	schoolwork	0	True	Home	3.5	3	2	True
2018-04-25T09:06:13.531754	2	super sleepy	fought with k last night, early class this morning	in class	3	False	School	2.5	2	4.5	False
2018-04-25T10:23:58.364701	3.5	grateful	jim just gave me a very thorough stats lesson!	in class	3	False	School	3.5	2.5	4	False
2018-04-25T11:26:47.566921	2.5	so sleepy and lazy	sleep deprivation	in class	3	False	School	3	3	4.5	False
2018-04-25T12:32:36.175990	5	happy	had some fun convos, lots of responses to my call for help on listserv, Shiffman complimented my QH final again during advisement!	schoolwork	6	False	School	3.5	2.5	3.5	False
2018-04-25T14:01:50.331694	3.5	not bad	just working on hw	schoolwork	3	True	Home	4	2	3.5	False
2018-04-25T15:02:33.024393	3	neutral	still working on hacking the browser hw	schoolwork	1	True	Home	3.5	2	4	False
2018-04-25T17:09:27.090474	3.5	not bad, a bit bored and sleepy	sitting in a workshop at Makerspace that's not going very smoothly 	leisure, with friends	2	False	School (Makerspace)	3	1.5	4	False
2018-04-25T19:30:32.589290	2.5	very sleepy	lack of sleep	in class	3	False	School	2	1.5	5	True
2018-04-25T21:00:05.847210	4	cheerful	fun in class	in class	4	False	School	3	1	4.5	False
