timee,something,blink,one,two,three,four
12:28:29.451,VM151:70,blink,35.45,-0.40,0.96,0.02,
12:28:30.508,VM151:70,blink,77.45,0.44,0.19,0.01,
12:28:33.811,VM151:70,blink,155.31,0.59,-0.07,0.00,
12:28:37.169,VM151:70,blink,28.44,0.62,0.48,0.04,
12:28:42.033,VM151:70,blink,47.25,0.78,0.67,-0.03,
12:28:42.197,VM151:70,blink,51.34,0.56,0.67,-0.02,
12:28:43.522,VM151:70,blink,16.83,0.48,0.52,-0.06,
12:28:44.172,VM151:70,blink,1069.54,3.09,2.97,0.01,
12:28:44.206,VM151:70,blink,1706.11,2.40,3.57,-0.00,
12:28:54.651,VM151:70,blink,32.58,0.46,0.26,0.02,
12:28:56.975,VM151:70,blink,22.43,0.18,0.49,0.03,
12:28:58.326,VM151:70,blink,14.48,0.34,0.71,0.07,
12:28:59.697,VM151:70,blink,18.63,1.26,2.05,0.18,
12:29:06.154,VM151:70,blink,12.49,0.34,0.54,-0.07,
12:29:06.288,VM151:70,blink,51.35,0.72,1.20,-0.04,
12:29:15.655,VM151:70,blink,27.20,1.79,2.41,-0.15,
12:29:31.440,VM151:70,blink,12.53,0.33,0.52,-0.07,
12:29:31.472,VM151:70,blink,28.46,0.70,1.36,-0.07,
12:29:31.508,VM151:70,blink,39.25,0.46,0.69,-0.03,
12:29:35.703,VM151:70,blink,13.61,2.89,3.39,0.46,
12:29:50.646,VM151:70,blink,250.84,2.38,3.64,-0.02,
12:30:04.051,VM151:70,blink,122.16,1.40,2.23,-0.03,
12:30:08.200,VM151:70,blink,32.88,0.37,0.53,0.03,
12:30:08.235,VM151:70,blink,27.64,0.91,1.43,0.08,
12:30:08.266,VM151:70,blink,361.07,0.81,0.81,0.00,
12:30:08.770,VM151:70,blink,18.27,0.45,0.51,-0.05,
12:30:24.412,VM151:70,blink,29.29,0.28,0.53,0.03,
12:30:24.448,VM151:70,blink,44.40,0.61,0.66,0.03,
12:30:24.512,VM151:70,blink,32.05,0.58,0.75,0.04,
12:30:48.618,VM151:70,blink,17.12,1.05,1.51,0.15,
12:31:00.898,VM151:70,blink,26.50,0.49,0.41,-0.03,
12:31:02.133,VM151:70,blink,23.05,0.62,0.52,-0.05,
12:31:08.527,VM151:70,blink,13.91,0.56,0.72,0.09,
12:31:11.152,VM151:70,blink,22.08,1.30,2.43,0.17,
12:31:15.315,VM151:70,blink,22.25,0.66,0.83,-0.07,
12:31:21.814,VM151:70,blink,31.73,0.39,0.77,0.04,
12:31:21.847,VM151:70,blink,13.60,0.34,0.63,-0.07,
12:31:29.715,VM151:70,blink,95.40,2.85,4.69,-0.08,
12:31:46.749,VM151:70,blink,16.40,0.81,1.08,0.12,
12:31:46.784,VM151:70,blink,15.35,1.13,1.45,0.17,
12:31:57.961,VM151:70,blink,12.75,1.98,2.20,0.33,
12:31:57.994,VM151:70,blink,14.63,1.53,1.51,0.21,
12:31:59.006,VM151:70,blink,12.54,3.03,3.98,0.56,
12:31:59.608,VM151:70,blink,14.28,2.99,3.79,-0.47,
12:32:07.549,VM151:70,blink,19.30,0.28,0.52,-0.04,
12:32:07.587,VM151:70,blink,12.31,1.05,1.36,-0.20,
12:32:11.522,VM151:70,blink,87.14,0.38,0.44,-0.01,
12:32:11.556,VM151:70,blink,48.51,0.67,0.61,0.03,
12:32:29.979,VM151:70,blink,18.25,0.28,1.06,-0.07,
12:32:44.567,VM151:70,blink,51.49,0.73,1.30,0.04,
12:32:44.657,VM151:70,blink,47.07,2.94,2.52,0.12,
12:32:47.660,VM151:70,blink,17.54,0.42,0.82,-0.07,
12:32:48.333,VM151:70,blink,19.85,0.16,0.85,-0.05,
12:32:51.334,VM151:70,blink,23.32,1.81,2.34,-0.18,
12:33:12.339,VM151:70,blink,25.21,1.33,2.58,-0.15,
12:33:15.555,VM151:70,blink,395.51,0.47,0.64,0.00,
12:33:18.297,VM151:70,blink,33.55,0.61,1.05,0.05,
12:33:38.800,VM151:70,blink,16.42,0.83,1.31,-0.13,
12:33:38.833,VM151:70,blink,44.71,0.74,0.80,0.03,
12:33:46.622,VM151:70,blink,50.30,3.73,4.95,0.17,
12:33:47.176,VM151:70,blink,12.87,0.74,0.56,0.10,
12:34:03.048,VM151:70,blink,150.04,0.45,0.83,-0.01,
12:34:03.084,VM151:70,blink,197.54,0.63,0.75,0.01,
12:34:26.154,VM151:70,blink,13.36,0.75,1.43,0.16,
12:34:26.577,VM151:70,blink,18.19,0.48,1.04,0.08,
12:34:26.612,VM151:70,blink,15.92,0.28,0.44,0.05,
12:34:55.138,VM151:70,blink,550.06,0.58,1.10,0.00,
12:34:55.172,VM151:70,blink,16.58,0.62,0.90,0.09,
12:35:12.328,VM151:70,blink,23.52,0.78,1.25,-0.09,
12:35:12.370,VM151:70,blink,36.37,0.80,0.97,-0.05,
12:35:12.919,VM151:70,blink,12.12,0.59,1.49,-0.17,
12:35:13.193,VM151:70,blink,25.58,0.82,1.21,0.08,
12:35:13.233,VM151:70,blink,47.96,0.89,1.06,-0.04,
12:35:13.315,VM151:70,blink,61.86,0.86,0.73,-0.03,
12:35:19.656,VM151:70,blink,38.02,0.61,0.85,0.04,
12:35:23.783,VM151:70,blink,17.29,0.86,2.20,0.18,
12:35:34.641,VM151:70,blink,13.19,0.22,0.45,-0.05,
12:35:34.759,VM151:70,blink,106.23,1.38,3.33,-0.04,
12:35:37.544,VM151:70,blink,39.32,0.39,0.61,0.03,
12:35:46.422,VM151:70,blink,451.20,2.97,3.58,0.01,
12:36:00.017,VM151:70,blink,73.07,3.48,5.19,0.12,
12:36:06.461,VM151:70,blink,19.91,0.26,0.48,0.04,
12:36:06.504,VM151:70,blink,15.98,1.20,2.06,0.20,
12:36:28.664,VM151:70,blink,17.11,0.70,1.41,-0.12,
12:36:28.704,VM151:70,blink,27.49,0.31,0.47,-0.03,
12:36:39.873,VM151:70,blink,47.12,1.01,2.12,0.07,
12:36:40.171,VM151:70,blink,41.36,0.88,1.98,0.07,
12:36:40.209,VM151:70,blink,72.17,0.93,0.98,-0.03,
12:36:49.909,VM151:70,blink,43.00,1.08,2.30,-0.08,
12:36:49.969,VM151:70,blink,13.82,0.53,0.68,-0.09,
12:36:57.257,VM151:70,blink,28.71,2.86,4.00,0.24,
12:37:07.846,VM151:70,blink,34.13,0.20,0.45,-0.02,
12:37:07.888,VM151:70,blink,168.35,0.36,0.65,0.01,
12:37:07.926,VM151:70,blink,17.98,0.65,0.81,0.08,
12:37:36.885,VM151:70,blink,70.66,0.53,0.93,0.02,
12:37:36.954,VM151:70,blink,239.39,2.71,2.78,0.02,
12:37:44.656,VM151:70,blink,53.77,0.28,0.49,-0.01,
12:37:44.691,VM151:70,blink,43.09,0.78,1.37,0.05,
12:37:44.726,VM151:70,blink,65.49,1.15,1.06,-0.03,
12:37:46.059,VM151:70,blink,13.38,0.40,0.51,0.07,
12:37:58.869,VM151:70,blink,67.62,0.47,0.71,-0.02,
12:38:03.928,VM151:70,blink,25.56,2.02,2.45,0.18,
12:38:06.166,VM151:70,blink,20.93,1.00,1.82,0.13,
12:38:20.694,VM151:70,blink,37.51,0.43,0.74,-0.03,
12:38:20.733,VM151:70,blink,18.94,0.81,1.06,0.10,
12:38:44.086,VM151:70,blink,175.49,4.19,5.86,0.06,
12:38:56.386,VM151:70,blink,50.62,1.56,2.29,-0.08,
12:39:14.788,VM151:70,blink,14.17,3.78,5.69,0.67,
12:39:28.690,VM151:70,blink,53.80,0.43,1.19,-0.03,
12:39:28.723,VM151:70,blink,37.19,1.09,1.82,0.08,
12:39:28.757,VM151:70,blink,18.99,0.95,1.10,0.11,
12:39:33.778,VM151:70,blink,62.93,4.94,5.68,-0.17,
12:39:34.211,VM151:70,blink,42.46,0.66,0.46,0.03,
12:39:43.656,VM151:70,blink,34.63,2.18,3.55,0.17,
12:39:43.689,VM151:70,blink,80.71,0.93,1.32,-0.03,
12:40:01.836,VM151:70,blink,34.54,3.10,4.27,0.21,
12:40:19.079,VM151:70,blink,57.43,0.55,0.67,-0.02,
12:40:20.429,VM151:70,blink,27.29,3.23,4.03,0.27,
12:40:33.801,VM151:70,blink,18.65,-0.07,0.65,-0.03,
12:40:48.226,VM151:70,blink,35.63,3.15,3.55,0.19,
12:40:52.961,VM151:70,blink,26.39,0.83,0.49,-0.05,
12:40:53.992,VM151:70,blink,61.73,1.10,2.11,-0.05,
12:41:17.214,VM151:70,blink,14.94,1.20,1.66,0.19,
12:41:19.401,VM151:70,blink,12.15,0.14,0.45,-0.05,
12:41:19.440,VM151:70,blink,35.62,0.71,1.58,-0.06,
12:41:19.477,VM151:70,blink,859.14,0.90,0.98,0.00,
12:41:26.759,VM151:70,blink,13.62,1.41,1.48,0.21,
12:41:36.011,VM151:70,blink,528.05,0.82,1.69,-0.00,
12:41:36.047,VM151:70,blink,34.21,1.10,1.56,0.08,
12:42:00.708,VM151:70,blink,116.32,1.48,3.02,0.04,
12:42:16.904,VM151:70,blink,43.05,2.57,2.65,0.12,
12:42:22.056,VM151:70,blink,128.76,1.73,2.20,-0.03,
12:42:26.628,VM151:70,blink,31.91,3.01,3.63,0.21,
12:42:28.437,VM151:70,blink,38.18,0.72,1.06,0.05,
12:42:30.555,VM151:70,blink,18.50,1.60,2.80,0.24,
12:42:48.258,VM151:70,blink,48.41,1.10,0.85,0.04,
12:42:57.470,VM151:70,blink,50.18,0.79,1.54,0.05,
12:42:57.504,VM151:70,blink,37.38,0.69,0.83,0.04,
12:43:01.312,VM151:70,blink,16.90,-0.19,0.52,0.02,
12:43:13.556,VM151:70,blink,15.83,0.34,0.68,0.06,
12:43:13.628,VM151:70,blink,41.59,0.77,1.07,-0.04,
12:43:13.662,VM151:70,blink,384.86,0.71,0.63,-0.00,
12:43:13.694,VM151:70,blink,347.65,0.70,0.50,0.00,
12:43:39.699,VM151:70,blink,47.07,0.64,1.40,0.04,
12:43:47.410,VM151:70,blink,18.35,0.99,1.15,-0.12,
12:43:59.530,VM151:70,blink,12.98,3.13,4.17,-0.56,
12:44:11.818,VM151:70,blink,17.29,1.60,1.95,-0.21,
12:44:24.245,VM151:70,blink,53.71,1.63,1.75,0.06,
12:44:24.278,VM151:70,blink,17.84,1.30,1.28,0.14,
12:44:28.838,VM151:70,blink,14.51,1.48,2.13,0.25,
12:44:36.364,VM151:70,blink,20.24,1.37,2.04,0.17,
12:44:36.401,VM151:70,blink,13.02,1.49,2.10,-0.28,
12:44:37.006,VM151:70,blink,16.78,1.59,2.53,-0.25,
12:44:37.043,VM151:70,blink,53.96,2.79,2.80,-0.10,
12:44:42.230,VM151:70,blink,15.32,0.88,1.24,0.14,
12:44:42.642,VM151:70,blink,45.58,2.19,3.00,-0.11,
12:44:53.211,VM151:70,blink,13.82,0.61,0.92,-0.11,
12:45:05.906,VM151:70,blink,183.09,0.30,0.76,0.01,
12:45:05.947,VM151:70,blink,23.26,0.88,1.60,0.11,
12:45:17.810,VM151:70,blink,38.96,2.36,2.40,-0.12,
12:45:23.495,VM151:70,blink,16.40,0.81,0.92,0.11,
12:45:31.161,VM151:70,blink,14.44,1.91,2.82,-0.33,
12:45:43.114,VM151:70,blink,43.35,1.23,2.29,0.08,
12:45:47.975,VM151:70,blink,82.38,3.43,3.83,-0.09,
12:46:03.065,VM151:70,blink,572.46,2.62,3.65,-0.01,
12:46:14.956,VM151:70,blink,37.66,3.62,4.19,-0.21,
12:46:28.447,VM151:70,blink,31.02,0.82,1.73,0.08,
12:46:46.311,VM151:70,blink,33.86,0.45,0.50,0.03,
12:46:46.532,VM151:70,blink,17.36,0.41,0.68,0.06,
12:46:46.572,VM151:70,blink,17.19,1.20,1.62,0.16,
12:46:46.655,VM151:70,blink,40.18,0.50,1.05,-0.04,
12:46:47.039,VM151:70,blink,45.41,0.56,0.91,0.03,
12:46:47.081,VM151:70,blink,13.50,0.44,0.76,0.09,
12:46:58.878,VM151:70,blink,19.51,0.26,0.43,-0.04,
12:47:07.304,VM151:70,blink,43.62,0.68,1.23,0.04,
12:47:07.340,VM151:70,blink,30.22,0.94,1.50,-0.08,
12:47:29.966,VM151:70,blink,19.80,0.77,1.34,-0.11,
12:47:40.671,VM151:70,blink,15.50,0.55,0.74,-0.08,
12:47:40.752,VM151:70,blink,13.61,3.31,5.52,0.65,
12:47:44.031,VM151:70,blink,367.18,1.32,2.20,0.01,
12:47:44.192,VM151:70,blink,43.64,0.68,1.35,0.05,
12:47:48.861,VM151:70,blink,21.08,1.53,2.30,0.18,
12:47:58.572,VM151:70,blink,16.17,0.73,1.25,0.12,
12:47:58.613,VM151:70,blink,68.21,0.85,1.17,-0.03,
12:47:58.651,VM151:70,blink,15.67,0.26,0.48,0.05,
12:48:16.014,VM151:70,blink,26.18,-0.35,0.55,-0.01,
12:48:16.844,VM151:70,blink,39.01,0.09,0.55,0.02,
12:48:18.537,VM151:70,blink,45.12,4.02,4.76,0.19,
12:48:19.739,VM151:70,blink,12.46,1.04,1.43,-0.20,
12:48:29.661,VM151:70,blink,139.60,0.34,0.89,0.01,
12:48:29.695,VM151:70,blink,28.83,0.78,1.48,0.08,
12:48:29.729,VM151:70,blink,16.74,0.60,0.51,0.07,
12:48:44.930,VM151:70,blink,14.58,0.50,0.87,0.09,
12:48:44.967,VM151:70,blink,81.25,0.94,1.63,-0.03,
12:48:45.265,VM151:70,blink,29.67,0.50,0.72,0.04,
12:48:45.305,VM151:70,blink,14.23,1.08,1.70,0.20,
12:48:49.747,VM151:70,blink,187.73,1.16,2.19,0.02,
12:48:49.781,VM151:70,blink,12.81,0.39,0.52,-0.07,
12:48:57.987,VM151:70,blink,41.28,3.63,5.20,-0.21,
12:49:15.717,VM151:70,blink,13.50,0.37,0.96,0.10,
12:49:15.757,VM151:70,blink,171.60,2.29,3.04,-0.03,
12:49:26.265,VM151:70,blink,62.96,0.44,0.76,0.02,
12:49:26.475,VM151:70,blink,177.14,2.98,3.19,-0.03,
12:49:26.516,VM151:70,blink,421.42,1.18,0.87,0.00,
12:49:37.006,VM151:70,blink,17.41,1.54,2.52,0.23,
12:49:37.049,VM151:70,blink,13.64,2.35,2.57,0.36,
12:49:43.781,VM151:70,blink,70.03,0.88,2.02,0.04,
12:49:52.525,VM151:70,blink,14.09,0.58,1.24,-0.13,
12:49:52.562,VM151:70,blink,54.70,1.70,2.41,-0.08,
12:49:52.603,VM151:70,blink,63.88,1.53,1.19,0.04,
12:49:52.648,VM151:70,blink,64.50,0.45,0.36,0.01,
12:49:56.420,VM151:70,blink,271.68,0.42,0.55,-0.00,
12:49:56.657,VM151:70,blink,15.24,0.44,0.09,0.03,
12:49:57.805,VM151:70,blink,12.11,1.80,-0.07,0.14,
12:49:57.839,VM151:70,blink,197.46,3.93,1.82,0.03,
12:50:05.023,VM151:70,blink,54.27,1.22,1.10,0.04,
12:50:29.734,VM151:70,blink,22.43,0.29,0.47,0.03,
12:50:29.777,VM151:70,blink,13.50,0.72,1.43,0.16,
12:50:29.822,VM151:70,blink,70.78,0.99,1.07,0.03,
12:50:38.974,VM151:70,blink,336.97,0.68,1.26,0.01,
12:50:39.700,VM151:70,blink,51.18,0.74,1.92,-0.05,
12:50:39.744,VM151:70,blink,44.11,1.61,2.94,-0.10,
12:51:01.713,VM151:70,blink,44.79,3.69,2.93,-0.15,
12:51:08.404,VM151:70,blink,406.92,1.37,2.49,0.01,
12:51:08.441,VM151:70,blink,64.33,2.04,1.95,0.06,
12:51:09.749,VM151:70,blink,73.68,0.54,0.03,-0.01,
12:51:15.179,VM151:70,blink,16.45,0.48,0.75,0.07,
12:51:15.222,VM151:70,blink,13.92,0.33,0.51,-0.06,
12:51:15.677,VM151:70,blink,542.55,1.88,3.19,0.01,
12:51:23.884,VM151:70,blink,35.40,0.41,0.64,-0.03,
12:51:23.924,VM151:70,blink,159.08,0.63,0.98,-0.01,
12:51:23.961,VM151:70,blink,23.67,0.42,0.58,0.04,
12:51:30.711,VM151:70,blink,15.90,0.29,0.64,0.06,
12:51:30.902,VM151:70,blink,124.77,0.60,0.83,0.01,
12:51:30.943,VM151:70,blink,44.93,0.77,1.10,-0.04,
12:51:36.664,VM151:70,blink,227.94,1.58,2.41,-0.02,
12:51:41.778,VM151:70,blink,74.06,0.16,0.44,-0.01,
12:51:41.818,VM151:70,blink,16.61,0.55,0.85,-0.08,
12:51:41.860,VM151:70,blink,76.64,1.19,1.12,0.03,
12:51:57.120,VM151:70,blink,1372.45,1.33,1.96,-0.00,
12:51:57.690,VM151:70,blink,38.31,1.36,2.02,0.09,
12:51:57.726,VM151:70,blink,25.73,0.34,0.46,-0.03,
12:52:12.985,VM151:70,blink,38.01,1.22,1.93,-0.08,
12:52:13.021,VM151:70,blink,60.88,1.40,1.51,-0.05,
12:52:24.738,VM151:70,blink,72.35,0.58,0.86,-0.02,
12:52:35.540,VM151:70,blink,92.47,0.65,1.06,-0.02,
12:52:35.578,VM151:70,blink,75.04,1.05,1.08,-0.03,
12:52:50.083,VM151:70,blink,15.10,0.48,0.85,-0.09,
12:52:50.124,VM151:70,blink,14.26,0.85,1.22,-0.15,
12:52:50.166,VM151:70,blink,24.25,1.47,1.68,-0.13,
12:52:50.205,VM151:70,blink,15.21,1.23,0.98,-0.15,
12:53:13.795,VM151:70,blink,12.45,1.39,2.19,0.29,
12:53:22.899,VM151:70,blink,422.56,3.24,2.33,0.01,
12:53:34.810,VM151:70,blink,23.30,0.75,1.59,-0.10,
12:53:34.845,VM151:70,blink,376.95,0.71,1.19,0.01,
12:53:54.812,VM151:70,blink,18.79,1.17,1.89,-0.16,
12:54:00.867,VM151:70,blink,12.60,1.06,1.79,0.23,
12:54:00.911,VM151:70,blink,54.05,3.58,4.26,0.15,
12:54:00.960,VM151:70,blink,12.68,0.53,0.37,-0.07,
12:54:01.438,VM151:70,blink,31.05,0.87,1.86,0.09,
12:54:01.477,VM151:70,blink,393.47,1.20,3.04,-0.01,
12:54:02.622,VM151:70,blink,20.42,0.66,0.71,0.07,
12:54:02.660,VM151:70,blink,2212.81,0.56,0.59,-0.00,
12:54:08.738,VM151:70,blink,14.20,1.36,1.53,0.20,
12:55:01.621,VM151:70,blink,12.60,1.37,2.01,-0.27,
12:55:04.483,VM151:70,blink,16.59,0.52,0.61,0.07,
12:55:08.970,VM151:70,blink,14.79,2.43,2.92,0.36,
12:55:14.279,VM151:70,blink,19.16,0.29,0.85,-0.06,
12:55:14.323,VM151:70,blink,859.93,0.68,1.13,0.00,
12:55:27.349,VM151:70,blink,20.19,3.81,3.75,0.37,
12:55:28.638,VM151:70,blink,12.04,0.83,1.67,-0.21,
12:55:28.676,VM151:70,blink,23.16,1.48,2.70,-0.18,
12:55:33.302,VM151:70,blink,26.95,1.62,2.14,0.14,
12:55:33.336,VM151:70,blink,26.05,1.62,2.95,0.18,
12:55:41.481,VM151:70,blink,26.54,0.52,0.79,-0.05,
12:55:41.520,VM151:70,blink,30.02,0.86,1.17,0.07,
12:56:36.186,VM151:70,blink,1564.59,0.85,0.80,-0.00,
12:56:36.222,VM151:70,blink,187.45,2.09,2.59,-0.02,
12:56:37.285,VM151:70,blink,27.31,0.25,0.58,0.03,
12:56:37.319,VM151:70,blink,22.83,0.99,1.71,0.12,
12:57:06.642,VM151:70,blink,13.08,0.98,1.17,0.16,
12:57:13.539,VM151:70,blink,12.53,0.94,1.11,0.16,
12:57:15.120,VM151:70,blink,18.90,1.10,0.91,-0.11,
12:57:27.858,VM151:70,blink,98.66,3.15,2.90,-0.06,
12:57:36.536,VM151:70,blink,25.78,0.41,0.92,0.05,
12:57:43.414,VM151:70,blink,33.86,0.70,2.95,0.11,
12:57:43.449,VM151:70,blink,23.28,2.75,2.37,0.22,
12:57:53.280,VM151:70,blink,12.02,0.71,0.91,-0.13,
12:57:57.779,VM151:70,blink,42.87,0.15,0.55,-0.02,
12:57:57.822,VM151:70,blink,60.05,0.47,1.15,0.03,
12:58:13.376,VM151:70,blink,13.81,1.94,2.45,-0.32,
12:58:13.417,VM151:70,blink,45.66,1.48,2.16,-0.08,
12:58:39.684,VM151:70,blink,12.02,0.38,0.65,0.09,
12:58:39.726,VM151:70,blink,46.90,0.83,1.49,-0.05,
12:58:39.764,VM151:70,blink,148.39,0.89,1.50,-0.02,
12:58:40.194,VM151:70,blink,22.33,0.98,1.31,0.10,
12:58:50.962,VM151:70,blink,62.30,2.37,3.48,-0.09,
12:58:55.879,VM151:70,blink,31.94,3.90,4.34,0.26,
12:59:07.244,VM151:70,blink,21.16,0.45,0.41,0.04,
12:59:24.434,VM151:70,blink,28.83,1.88,2.43,0.15,
12:59:24.476,VM151:70,blink,45.28,1.50,2.63,0.09,
12:59:28.532,VM151:70,blink,16.56,0.23,0.52,0.05,
12:59:28.578,VM151:70,blink,36.37,2.02,3.12,0.14,
12:59:28.659,VM151:70,blink,181.41,1.11,1.57,0.01,
12:59:34.474,VM151:70,blink,12.41,0.85,0.83,-0.14,
12:59:40.441,VM151:70,blink,20.67,0.67,0.76,0.07,
13:00:04.017,VM151:70,blink,51.63,1.38,2.10,0.07,
13:00:04.073,VM151:70,blink,22.48,3.41,3.72,0.32,
13:00:18.182,VM151:70,blink,36.43,0.24,0.42,0.02,
13:00:18.218,VM151:70,blink,38.31,1.50,1.77,-0.09,
13:00:18.255,VM151:70,blink,676.85,1.44,1.22,0.00